AWA,AWS,HOG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
0.0,8.78316073153,90.0,3.0,0.0,180,4.13006747285e-22,6.74491204439e-06,0,0,0,0,-0.43019184895,0,0
0.0,8.23022522219,90.0,2.65635956811,0.0,180,7.78704888899e-22,1.27172159261e-05,0,0,0,0.0,-0.811067655703,1,0.0
0.0,7.74118372623,90.0,2.17869645269,0.0,180,1.07864366732e-21,1.76155879077e-05,0,0,0,0.0,-1.12340287688,1,0.0
0.0,7.36040018845,87.0505727499,1.78994632423,0.0,180,1.32506363704e-21,2.16399314148e-05,-45,0.0,0,0.0,-1.3799582315,1,0.0
2.31559566226,7.05506202891,84.4822449718,1.51677091575,0.0,180,1.75468135385e-07,2.5045576251e-05,-45,0.0,0,0.0,-1.59734004454,1,0.0
4.45985690802,6.87867035948,82.1094207697,1.32078690052,0.0,180,4.61000978898e-07,2.80013472728e-05,-45,0.0,0,-1.59734004454,-1.78630314465,0,100.0
6.45677673335,6.69482278313,79.924469753,1.22024733373,0.0,180,8.37631483785e-07,3.07188590518e-05,-45,0.0,0,-1.78630314465,-1.96035516179,0,100.0
8.34951507365,6.5263800504,77.8971059868,1.12363176758,0.0,180,1.27959221626e-06,3.32061647578e-05,-45,0.0,0,-1.96035516178,-2.11998885159,0,100.0
10.192704032,6.55801732492,75.9068746833,1.04259103055,0.0,180,1.77106680778e-06,3.54981240745e-05,-45,2.0,0,-2.11998885159,-2.26740828945,0,100.0
11.8546816563,6.38071495973,73.9831161402,1.02349530972,0.0,180,2.33138849369e-06,3.77299915675e-05,-45,2.0,0,-2.26740828945,-2.41130880686,0,100.0
13.5369221967,6.3085606423,72.1056271195,0.989311062656,0.0,180,2.94511098441e-06,3.98679183169e-05,-45,4.0,0,-2.41130880686,-2.5495116743,0,100.0
15.2612836726,6.45773381446,70.2625255096,0.965516522328,0.0,180,3.6121100671e-06,4.19336808654e-05,-45,4.0,0,-2.54951167429,-2.68342303919,0,100.0
17.0266387119,6.76796650216,68.4477438957,0.947832470364,0.0,180,4.33177736979e-06,4.39394989632e-05,-45,4.0,0,-2.68342303919,-2.81383794432,0,100.0
18.5792869611,6.61018231206,66.6423021986,0.933268644038,0.0,180,5.10257672882e-06,4.58910655699e-05,-45,9.0,0,-2.81383794432,-2.94113117239,0,100.0
20.2101924607,6.70426121429,64.8396305089,0.928465503333,0.0,180,5.93019743968e-06,4.78074648786e-05,-45,9.0,0,-2.94113117239,-3.06655871477,0,100.0
21.8847478276,6.89779107323,63.0263333521,0.927041000739,0.0,180,6.81633178577e-06,4.96939821379e-05,-45,9.0,0,-3.06655871477,-3.19048417469,0,100.0
23.5091492065,6.99923615044,61.1703326364,0.932505247928,0.0,180,7.76728931022e-06,5.15624638429e-05,-45,12.0,0,-3.1904841747,-3.31371052122,0,100.0
25.1206025442,7.11468794399,59.2625834501,0.954465957799,0.0,180,8.80207236856e-06,5.34424207741e-05,-45,12.0,0,-3.31371052122,-3.43822916305,0,100.0
26.7275370446,7.17065843292,57.2860765242,0.981078099218,0.0,180,9.92944678748e-06,5.53383142751e-05,-45,12.0,0,-3.43822916305,-3.56439946904,0,100.0
28.401877669,7.30602752191,55.2026924737,1.01643741844,0.0,180,1.11645038498e-05,5.72610854062e-05,-45,15.0,0,-3.56439946904,-3.69303109615,0,100.0
29.9461705864,7.23000474648,52.9940956377,1.07139999269,0.0,180,1.25391645178e-05,5.92391612421e-05,-45,15.0,0,-3.69303109614,-3.82614596296,0,100.0
31.483522852,7.10378834876,50.6620689494,1.13579185425,0.0,180,1.40761727553e-05,6.12784028031e-05,-45,15.0,0,-3.82614596297,-3.96430218998,0,100.0
33.1757907749,7.08207327126,48.2026747819,1.19926682563,0.0,180,1.57853489475e-05,6.33637898115e-05,-45,15.0,0,-3.96430218997,-4.10667133588,0,100.0
34.8768956404,6.99608609481,45.6136905491,1.26476675886,0.0,180,1.76805885072e-05,6.54836990694e-05,-45,15.0,0,-4.10667133588,-4.25267022734,0,100.0
36.741166707,7.00037580584,42.8907582032,1.33140967808,0.0,180,1.97744592585e-05,6.76229117758e-05,-45,15.0,0,-4.25267022734,-4.40148545312,0,100.0
38.7282981061,7.03877108754,40.0286755103,1.40029376473,0.0,180,2.20810595316e-05,6.97656437946e-05,-45,15.0,0,-4.40148545312,-4.55228072083,0,100.0
40.7314426526,7.01901642853,37.0238819657,1.47185314945,0.0,180,2.46149684933e-05,7.18940078616e-05,-45,15.0,0,-4.55228072083,-4.70409071401,0,100.0
42.835699494,7.00721532936,33.8726885199,1.5452435574,0.0,180,2.73886981173e-05,7.39859762749e-05,-45,15.0,0,-4.70409071401,-4.85567083405,0,100.0
45.1678312643,7.077259879,30.5690657786,1.62053109408,0.0,180,3.04137718414e-05,7.60166490293e-05,-45,15.0,0,-4.85567083405,-5.00557807159,0,100.0
47.5066439071,7.07968744159,27.5577059703,1.69891930389,0.0,180,3.370258635e-05,7.79592525933e-05,-38,15.0,0,-5.00557807159,-5.15223999398,0,100.0
49.4041782588,6.98958463254,24.4147128865,1.77863968137,0.0,180,3.72478126232e-05,7.98093211662e-05,-38,15.0,0,-5.15223999398,-5.29541790777,0,100.0
