AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-89.9993220371,8.45116753879,90.0,90.0,0.0001,0.0,180,1.37668915762e-26,2.2483040148e-10,0,0,0,0,-1.43399977672e-05,0,0
-89.9993416141,8.54306995878,89.9998795552,90.0,9.81684361111e-05,0.0,180,2.72816337376e-26,4.45542890515e-10,-45,0,1,-30.0,-2.84173493136e-05,0,100.0
-89.9992276142,8.46950614616,89.8834355734,89.9998795552,9.6370418485e-05,0.0,180,4.55474762568e-16,6.62212889302e-10,-45,-15.0,1,-30.0,-4.22368651725e-05,0,100.0
-89.2558435414,8.50600473056,89.6523802464,89.8834355734,0.0931692550161,0.0,180,4.2615856621e-10,2.10134589502e-07,-45,-15.0,1,-30.0,-0.013402684419,0,100.0
-88.4043535776,8.48783010119,89.3091449691,89.6523802464,0.184872179424,0.0,180,2.947930156e-09,6.25775802771e-07,-45,-15.0,1,-30.0,-0.0399129813051,0,100.0
-87.4622117893,8.5204510519,88.8554200758,89.3091449691,0.274629694048,0.0,180,1.03927860814e-08,1.24318196204e-06,-45,-15.0,1,-30.0,-0.0792927527168,0,100.0
-86.3900067638,8.43778477659,88.2944445107,88.8554200758,0.363034737034,0.0,180,2.66969233991e-08,2.05923156207e-06,-45,-15.0,1,-30.0,-0.131344345278,0,100.0
-85.2628861878,8.48333147377,87.6276415729,88.2944445107,0.448848233294,0.0,180,5.67323383797e-08,3.06793177352e-06,-45,-15.0,1,-30.0,-0.195688581288,0,100.0
-84.0156657244,8.46147713114,86.8573311676,87.6276415729,0.533522918281,0.0,180,1.06384903312e-07,4.266425402e-06,-45,-15.0,1,-30.0,-0.272148768447,0,100.0
-82.6748293033,8.43800908075,85.9858123368,86.8573311676,0.616341398799,0.0,180,1.82353582615e-07,5.65006428298e-06,-45,-15.0,1,-30.0,-0.360437423262,0,100.0
-81.1756190307,8.2953745022,85.0170498643,85.9858123368,0.697320367938,0.0,180,2.92104226751e-07,7.21400628394e-06,-45,-15.0,1,-30.0,-0.460259185237,0,100.0
