AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-89.9993221826,8.45298108843,90.0,90.0,0.0001,0.0,180,1.37668915762e-26,2.2483040148e-10,0,0,0,0,-1.43399977672e-05,0,0
-89.9993439248,8.57315866359,90.0,90.0,9.81684361111e-05,0.0,180,2.72816337376e-26,4.45542890515e-10,0,0,0,0,-2.84173493136e-05,0,0
-89.999362759,8.66488274691,90.0,90.0,9.6370418485e-05,0.0,180,4.05488447619e-26,6.62212889302e-10,0,0.0,0,0,-4.22368651725e-05,0,0
-89.9993768642,8.69872413413,90.0,90.0,9.46053327005e-05,0.0,180,5.357305834e-26,8.74914438634e-10,0,0.0,0,0,-5.58032677694e-05,0,0
-89.9993863405,8.67126835574,89.9998860528,90.0,9.28725755898e-05,0.0,180,6.63587251255e-26,1.0837202232e-09,-45,0.0,1,-30.0,-6.91211930353e-05,0,100.0
-89.9992903679,8.7693107485,89.9997741925,89.9998860528,9.11715550327e-05,0.0,180,4.07657608854e-16,1.28870159641e-09,-45,0.0,1,-30.0,-8.21951919913e-05,0,100.0
-89.9991893368,8.76809281868,89.8792376533,89.9997741925,8.95016897538e-05,0.0,180,1.20071005166e-15,1.48992860481e-09,-45,-15.0,1,-30.0,-9.50297323035e-05,0,100.0
-89.2548346974,8.84992534915,89.6394444494,89.8792376533,0.096443795495,0.0,180,4.57024055966e-10,2.18324419585e-07,-45,-15.0,1,-30.0,-0.0139250439439,0,100.0
-88.3967056467,8.84627983052,89.2827151427,89.6394444494,0.191863536688,0.0,180,3.17155107406e-09,6.49683438288e-07,-45,-15.0,1,-30.0,-0.0414378583196,0,100.0
-87.428648085,8.82131486711,88.8116199128,89.2827151427,0.285426548038,0.0,180,1.12050934161e-08,1.29135880563e-06,-45,-15.0,1,-30.0,-0.0823656431625,0,100.0
-86.387251279,8.9089072478,88.2271398323,88.8116199128,0.376933105106,0.0,180,2.87811285783e-08,2.13863673906e-06,-45,-15.0,1,-30.0,-0.136409357991,0,100.0
-85.2226395001,8.91798599166,87.5313142424,88.2271398323,0.467654685647,0.0,180,6.13095414294e-08,3.18956335509e-06,-45,-15.0,1,-30.0,-0.203447846367,0,100.0
-83.9869299924,8.9972872112,86.725184937,87.5313142424,0.556744546682,0.0,180,1.15225806937e-07,4.44013263805e-06,-45,-15.0,1,-30.0,-0.283231898841,0,100.0
-82.6264820916,9.00942725168,85.8106940266,86.725184937,0.645000846776,0.0,180,1.98066358143e-07,5.88792255677e-06,-45,-15.0,1,-30.0,-0.375617382303,0,100.0
-81.1229244847,8.92923091388,84.7910963665,85.8106940266,0.731703223858,0.0,180,3.18243651585e-07,7.52861838166e-06,-45,-15.0,1,-30.0,-0.480344740903,0,100.0
-79.569238336,8.92660159293,83.6684399849,84.7910963665,0.815801323343,0.0,180,4.84763006649e-07,9.35521320745e-06,-45,-15.0,1,-30.0,-0.596989159205,0,100.0
-77.8776876158,8.84855850429,82.4458493276,83.6684399849,0.898260752955,0.0,180,7.07484066009e-07,1.13624578561e-05,-45,-15.0,1,-30.0,-0.725245944221,0,100.0
-76.2295772249,8.9556259513,81.1238714129,82.4458493276,0.978220248211,0.0,180,9.96615784432e-07,1.3542706452e-05,-45,-15.0,1,-30.0,-0.864666487742,0,100.0
-74.405789256,8.93347196394,79.7051272161,81.1238714129,1.0577420629,0.0,180,1.36355762203e-06,1.58923523103e-05,-45,-15.0,1,-30.0,-1.01507121057,0,100.0
-72.6448518368,9.08681578406,78.1897305503,79.7051272161,1.13516678054,0.0,180,1.81967193126e-06,1.84034645601e-05,-45,-15.0,1,-30.0,-1.17601609068,0,100.0
-70.7758820037,9.19773762978,76.5788023006,78.1897305503,1.21250043405,0.0,180,2.37762067472e-06,2.10718252235e-05,-45,-15.0,1,-30.0,-1.3473087806,0,100.0
-68.8005911735,9.26368876062,75.0291280363,76.5788023006,1.28893724399,0.0,180,3.0502511129e-06,2.38906059413e-05,-40,-15.0,1,-30.0,-1.52860516358,0,100.0
-66.872409636,9.28734323475,73.3962297785,75.0291280363,1.36399727118,0.0,180,3.84246042315e-06,2.68531950031e-05,-40,-15.0,1,-30.0,-1.71957542864,0,100.0
-64.8276189607,9.24416492974,71.6829251521,73.3962297785,1.43724963311,0.0,180,4.76583018946e-06,2.99498330156e-05,-40,-15.0,1,-30.0,-1.91971205915,0,100.0
-62.7792059177,9.24967060735,69.8913960559,71.6829251521,1.50802196887,0.0,180,5.83137831156e-06,3.31685349534e-05,-40,-15.0,1,-30.0,-2.12837871171,0,100.0
-60.7413543908,9.31170909344,68.3511753998,69.8913960559,1.57687383394,0.0,180,7.05025214627e-06,3.64977150809e-05,-32,-15.0,1,-30.0,-2.34497955773,0,100.0
-59.008419381,9.4149839588,66.7488470816,68.3511753998,1.64442402515,0.0,180,8.41419821174e-06,3.99340912515e-05,-32,-15.0,1,-30.0,-2.56941137471,0,100.0
-57.2749980981,9.5493192601,65.0856399757,66.7488470816,1.71073357067,0.0,180,9.93255254548e-06,4.34679606154e-05,-32,-15.0,1,-30.0,-2.80121069671,0,100.0
-55.561666272,9.73332634215,63.3616338309,65.0856399757,1.77573110256,0.0,180,1.16143964681e-05,4.7088806645e-05,-32,-15.0,1,-30.0,-3.03987419905,0,100.0
-53.6272573557,9.73065763768,61.9402554594,63.3616338309,1.84064349015,0.0,180,1.34698469752e-05,5.07878668944e-05,-25,-15.0,1,-30.0,-3.28502858426,0,100.0
-52.0373887569,9.7638698577,60.4741502014,61.9402554594,1.90283889833,0.0,180,1.54822593339e-05,5.45631618958e-05,-25,-15.0,1,-30.0,-3.53664718756,0,100.0
-50.3355010911,9.70185322382,58.96570486,60.4741502014,1.96271602973,0.0,180,1.76569498789e-05,5.84028713798e-05,-25,-15.0,1,-30.0,-3.79414677449,0,100.0
-48.6689161963,9.68037673832,57.4164059301,58.96570486,2.01939788119,0.0,180,1.99976652607e-05,6.22931994447e-05,-25,-15.0,1,-30.0,-4.05681573016,0,100.0
-47.1899271459,9.8436751806,56.2542239486,57.4164059301,2.07408972035,0.0,180,2.25089277143e-05,6.62224294195e-05,-18,-15.0,1,-30.0,-4.32408508501,0,100.0
-45.8220167465,9.77122057635,55.0640197224,56.2542239486,2.12780757816,0.0,180,2.51664593016e-05,7.02003413185e-05,-18,-15.0,1,-30.0,-4.59664158008,0,100.0
-44.5571606741,9.79648175824,53.8465918054,55.0640197224,2.17911274849,0.0,180,2.79721008817e-05,7.42167568381e-05,-18,-15.0,1,-30.0,-4.87399332301,0,100.0
-43.299193226,9.83206730312,52.6038287611,53.8465918054,2.22895586834,0.0,180,3.09285551976e-05,7.8263139351e-05,-18,-15.0,1,-30.0,-5.15576258507,0,100.0
-41.9846123201,9.80924049069,51.3370871021,52.6038287611,2.27534126806,0.0,180,3.4035411244e-05,8.23273012043e-05,-18,-15.0,1,-30.0,-5.44131568698,0,100.0
-40.8003493037,9.9031344862,50.0471485852,51.3370871021,2.31924306554,0.0,180,3.72930189231e-05,8.63988585075e-05,-18,-15.0,1,-30.0,-5.73013887586,0,100.0
-39.4142859246,9.8118052213,49.3106070084,50.0471485852,2.36171356581,0.0,180,4.07027764116e-05,9.04692469247e-05,-10,-15.0,1,-30.0,-6.02184366775,0,100.0
-38.667009868,9.85185127289,48.562500458,49.3106070084,2.39975892057,0.0,180,4.42203427538e-05,9.45603268007e-05,-10,-15.0,3,-45.0,-6.31772248985,0,100.0
-38.0314662308,9.99788820265,47.8031175164,48.562500458,2.43743927614,0.0,180,4.78470905189e-05,9.86686410648e-05,-10,-15.0,3,-45.0,-6.61769378388,0,100.0
-37.1852135829,9.94783942412,47.0332353426,47.8031175164,2.47417938862,0.0,180,5.15834514209e-05,0.000102789723619,-10,-15.0,3,-45.0,-6.92160430709,0,100.0
-36.3886999689,9.93696914955,46.2535183403,47.0332353426,2.50838740476,0.0,180,5.54272681269e-05,0.000106916509095,-10,-15.0,3,-45.0,-7.22910591901,0,100.0
-35.5941048394,9.92170796876,43.0392946404,46.2535183403,2.54043069753,0.0,180,5.93767025933e-05,0.00011104264936,-45,-15.0,3,-45.0,-7.53989595191,0,100.0
-32.9508145479,10.0202253334,39.7911414116,43.0392946404,2.57176732614,0.0,180,6.36027682034e-05,0.000114988941426,-45,-15.0,3,-45.0,-7.84362934875,0,100.0
-30.2325963513,10.0164336572,36.5151974651,39.7911414116,2.59891504888,0.0,180,6.80925431823e-05,0.000118728505019,-45,-15.0,3,-45.0,-8.13857763179,0,100.0
-27.530440436,9.98695159381,33.2238316956,36.5151974651,2.62115098088,0.0,180,7.28288576843e-05,0.000122235137929,-45,-15.0,3,-45.0,-8.42295605909,0,100.0
-24.876982361,9.93983584587,29.9350054382,33.2238316956,2.63349030264,0.0,180,7.77818955436e-05,0.000125479258257,-45,-15.0,3,-45.0,-8.69454634295,0,100.0
-22.3799671761,9.98751199279,26.6658013523,29.9350054382,2.63145838614,0.0,180,8.29089299691e-05,0.000128431603436,-45,-15.0,3,-45.0,-8.95091308504,0,100.0
-19.985822032,10.0917953376,23.4271621507,26.6658013523,2.61575827808,0.0,180,8.81644411162e-05,0.000131070920946,-45,-15.0,3,-45.0,-9.19001985552,0,100.0
-17.5882408174,10.1271641999,20.2301911714,23.4271621507,2.59130267747,0.0,180,9.35102152997e-05,0.000133387253465,-45,-15.0,3,-45.0,-9.41058130043,0,100.0
-15.1693088676,10.0270073026,17.091774758,20.2301911714,2.5579630651,0.0,180,9.89065153093e-05,0.000135375934335,-45,-9.0,3,-45.0,-9.61157566672,0,100.0
-12.843297945,9.96225723515,14.0108404463,17.091774758,2.5111123373,0.0,180,0.000104302916201,0.000137035236045,-45,-9.0,3,-45.0,-9.79198096906,0,100.0
-10.5861175113,9.99075819242,10.9863354149,14.0108404463,2.46511971052,0.0,180,0.000109680369821,0.000138377066538,-45,-5.0,3,-45.0,-9.95204606864,0,100.0
-8.31942748769,9.91167340402,8.01722612551,10.9863354149,2.41996946809,0.0,180,0.000115021481015,0.000139413951502,-45,-5.0,3,-45.0,-10.0920698579,0,100.0
-6.07426862741,9.77254523184,5.10249796966,8.01722612551,2.37564618119,0.0,180,0.000120310452187,0.000140158889545,-45,-5.0,3,-45.0,-10.2123976694,0,100.0
-3.87833946094,9.70862333353,2.24115492218,5.10249796966,2.33213470361,0.0,180,0.000125533021607,0.000140625220956,-45,0.0,3,-45.0,-10.3134178226,0,100.0
