AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-36.4600271471,8.94888454375,41.0297255324,41.2861386668,1.14104966009,0.0,180,2.01077712086e-05,1.86304236759e-05,-7,-15.0,1,-30.0,-1.21529941041,0,100.0
-36.1823690522,9.24749762803,40.800417211,41.0297255324,1.19038206195,0.0,180,2.21267200119e-05,2.03873088861e-05,-6,-15.0,1,-30.0,-1.33292835186,0,100.0
-35.8260401562,9.3530223479,40.561747287,40.800417211,1.24115444517,0.0,180,2.42390957766e-05,2.2210689577e-05,-6,-15.0,1,-30.0,-1.45560033832,0,100.0
-35.5184653245,9.55577381263,40.3548366578,40.561747287,1.29182506494,0.0,180,2.64455965344e-05,2.40993355697e-05,-5,-15.0,1,-30.0,-1.58330931124,0,100.0
-35.1921802735,9.66534608887,40.1402478359,40.3548366578,1.34315882725,0.0,180,2.87468543479e-05,2.60547337347e-05,-5,-15.0,1,-30.0,-1.71623124112,0,100.0
-34.7338927058,9.53115735394,39.9182806667,40.1402478359,1.39300175854,0.0,180,3.11410874648e-05,2.80737413655e-05,-5,-15.0,1,-30.0,-1.85423655121,0,100.0
-34.3755998953,9.57286404101,39.6892360176,39.9182806667,1.44089824574,0.0,180,3.36257151475e-05,3.01525598837e-05,-5,-15.0,1,-30.0,-1.99715087079,0,100.0
-34.020723477,9.61328199905,39.5003180419,39.6892360176,1.48684165416,0.0,180,3.61981205338e-05,3.22873957417e-05,-4,-15.0,1,-30.0,-2.14479923843,0,100.0
-33.7962000083,9.8060603964,39.3057245291,39.5003180419,1.53224898547,0.0,180,3.88563253878e-05,3.4478675506e-05,-4,-15.0,1,-30.0,-2.29728809345,0,100.0
-33.5491277441,9.96758858195,39.1054089446,39.3057245291,1.57828132272,0.0,180,4.16020389363e-05,3.67264741528e-05,-4,-15.0,1,-30.0,-2.45471327449,0,100.0
-33.3756605519,10.2645190174,38.950835519,39.1054089446,1.62469108597,0.0,180,4.44365633634e-05,3.90304740218e-05,-3,-15.0,1,-30.0,-2.6171480332,0,100.0
-33.0506063379,10.2189918858,38.7920884306,38.950835519,1.67099536581,0.0,180,4.7358255056e-05,4.13922651352e-05,-3,-15.0,1,-30.0,-2.78478865738,0,100.0
-32.7138706563,10.1537365869,38.6292888529,38.7920884306,1.71611419072,0.0,180,5.03655447149e-05,4.38095044783e-05,-3,-15.0,1,-30.0,-2.95757049223,0,100.0
