AWA,AWS,HOG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-90.0,5.33530787887,180.0,0.0,0.0,180,0.0,0.0,0,0,0,0,0,0,0
-90.0,5.25305748322,180.0,0.0,0.0,180,0.0,0.0,-45,0,0,0,0,0,0
-90.0,5.2415932485,180.0,0.0,0.0,180,0.0,0.0,-45,0,0,0.0,0,0,100.0
-90.0,5.38507415926,179.808207572,0.0,0.0,180,0.0,0.0,-45,-15.0,0,0.0,0,0,100.0
-88.7902592514,5.55176503751,179.422339116,0.0986310736901,0.0,180,-2.21751396577e-07,7.42295470045e-10,-45,-15.0,0,0.0,-4.73329600211e-05,0,100.0
-87.3253771835,5.42286200498,178.850811209,0.198436510455,0.0,180,-6.67874324909e-07,5.24029688475e-09,-45,-15.0,0,-4.73329600211e-05,-0.000333985162179,0,100.0
-85.6932802944,5.33491194074,178.100284945,0.293913642836,0.0,180,-1.32854863502e-06,1.84933034013e-08,-45,-15.0,0,-0.000333985162179,-0.00117778691182,0,100.0
-83.8407928193,5.19367013686,177.179317577,0.385965244309,0.0,180,-2.19583890187e-06,4.72599667683e-08,-45,-15.0,0,-0.00117778691182,-0.003006956643,0,100.0
-82.099298736,5.34227843479,176.086030805,0.473616196857,0.0,180,-3.25938198799e-06,9.96607406388e-08,-45,-15.0,0,-0.00300695664299,-0.00633352143593,0,100.0
-80.0591019784,5.34232202741,174.823849407,0.56223308394,0.0,180,-4.52050465294e-06,1.85944365234e-07,-45,-15.0,0,-0.00633352143593,-0.0118004096855,0,100.0
-77.8550241778,5.32799497234,173.396642899,0.649088745793,0.0,180,-5.97390231729e-06,3.17603949045e-07,-45,-15.0,0,-0.0118004096855,-0.0201234006357,0,100.0
-75.5602426071,5.34735846881,171.807020491,0.733954473048,0.0,180,-7.61310804071e-06,5.07363853869e-07,-45,-15.0,0,-0.0201234006357,-0.0320884280382,0,100.0
-73.110493975,5.35139004957,170.059228974,0.817478388233,0.0,180,-9.43228941636e-06,7.69284364476e-07,-45,-15.0,0,-0.0320884280382,-0.0485561829895,0,100.0
-70.5716251291,5.37099746124,168.156762674,0.898818351718,0.0,180,-1.14227672632e-05,1.11813808705e-06,-45,-15.0,0,-0.0485561829895,-0.0704209202758,0,100.0
-68.1682781063,5.52051535528,166.099237496,0.978361325207,0.0,180,-1.35755964695e-05,1.56958330904e-06,-45,-15.0,0,-0.070420920276,-0.0986197515115,0,100.0
-65.8065543957,5.7484510097,163.883026304,1.05810182252,0.0,180,-1.58848598649e-05,2.14110083754e-06,-45,-15.0,0,-0.0986197515117,-0.134189296178,0,100.0
-62.6098960826,5.60097524133,161.546675225,1.13970760881,0.0,180,-1.83465585824e-05,2.85242375617e-06,-45,-15.0,0,-0.134189296178,-0.178289727804,0,100.0
-60.0236797942,5.70537316139,159.117121833,1.20149068438,0.0,180,-2.09089781653e-05,3.70747684972e-06,-45,-15.0,0,-0.178289727803,-0.231088027838,0,100.0
-57.6923108862,5.89326041407,156.537923677,1.24942085729,0.0,180,-2.35335306801e-05,4.70879743376e-06,-45,-15.0,0,-0.231088027838,-0.292664038193,0,100.0
-54.9529036633,6.05869111382,153.810916164,1.32637709529,0.0,180,-2.62690810276e-05,5.8960962314e-06,-45,-15.0,0,-0.292664038193,-0.365371747038,0,100.0
