AWA,AWS,HOG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
0.0,8.27357250777,0.0,3.0,0.0,180,6.74491204439e-06,0.0,0,0,0,0,90.430191849,0,0
0.0,7.5374707992,0.0,2.21491195439,0.0,180,1.17247074839e-05,0.0,0,0.0,0,90.430191849,90.7477757982,0,100.0
0.0,7.05678007672,0.0,1.64030783684,0.0,180,1.54126181789e-05,0.0,0,0.0,0,90.430191849,90.9829419227,0,100.0
0.0,6.65306966036,2.1142467843,1.31972657851,0.0,180,1.83797647438e-05,0.0,45,0.0,0,90.430191849,91.1721235861,0,100.0
-1.75684844266,6.43050944863,4.00883357206,1.08727144602,0.0,180,2.08226173995e-05,9.01835861222e-08,45,0.0,0,90.430191849,91.3279911779,0,100.0
-3.38891520784,6.29556055721,5.78284615923,0.974309211033,0.0,180,2.30078010723e-05,2.43325065399e-07,45,0.0,0,91.3279911779,91.4675463489,0,100.0
-4.95550594702,6.36610801128,7.52436657248,0.912302785674,0.0,180,2.50484967021e-05,4.49994117421e-07,45,0.0,0,91.4675463489,91.598014404,0,100.0
-6.47856744539,6.42551017181,9.23398992671,0.895593377295,0.0,180,2.70447245969e-05,7.13666217899e-07,45,0.0,0,91.598014404,91.7257997634,0,100.0
-7.95438117938,6.31756003036,10.912300437,0.879190012405,0.0,180,2.89957956345e-05,1.03085869435e-06,45,0.0,0,91.7257997634,91.8508730557,0,100.0
-9.40258397156,6.20150451922,12.559871618,0.863087085623,0.0,180,3.09011901792e-05,1.39820409248e-06,45,-1.0,0,91.8508730557,91.9732131622,0,100.0
-10.8984995026,6.35509162886,14.1772664802,0.847279094233,0.0,180,3.27605446048e-05,1.81245195574e-06,45,-1.0,0,91.9732131622,92.0928065321,0,100.0
-12.2762869655,6.14118677069,15.7650377221,0.831760636305,0.0,180,3.45736385082e-05,2.27046986969e-06,45,-1.0,0,92.0928065321,92.209646542,0,100.0
-13.6684580552,6.06396857911,17.3237279194,0.816526408849,0.0,180,3.63403826032e-05,2.76924385272e-06,45,-5.0,0,92.209646542,92.3237328975,0,100.0
-15.0040760097,5.8971458014,18.8538697099,0.801571206001,0.0,180,3.80608072842e-05,3.30587816861e-06,45,-5.0,0,92.3237328975,92.4350710738,0,100.0
-16.4166176086,5.9796921122,20.358988641,0.786889917249,0.0,180,3.97350518455e-05,3.87759463038e-06,45,-5.0,0,92.4350710738,92.5436717934,0,100.0
-17.6521177173,5.70197799163,21.7773258907,0.774021674685,0.0,180,4.13665775166e-05,4.48302460568e-06,45,-5.0,0,92.5436717934,92.6497605357,0,100.0
-19.0288961089,5.64339837937,23.1710016288,0.729393372551,0.0,180,4.28894404988e-05,5.09142738736e-06,45,-9.0,0,92.6497605357,92.7490299447,0,100.0
-20.2202614836,5.4783111009,24.4623403582,0.716710956531,0.0,180,4.43708416788e-05,5.72546944391e-06,45,-9.0,0,92.7490299447,92.8458449255,0,100.0
-21.5440236289,5.40132766783,25.7191986161,0.664083179872,0.0,180,4.57298759266e-05,6.34373856264e-06,45,-9.0,0,92.8458449255,92.9348897234,0,100.0
-22.6687917913,5.27095554483,26.9051465629,0.646351270686,0.0,180,4.70391045515e-05,6.97436814093e-06,45,-9.0,0,92.9348897234,93.0208930623,0,100.0
-23.8199009836,5.12771080643,28.016622798,0.609884971131,0.0,180,4.8261887684e-05,7.59485954243e-06,45,-13.0,0,93.0208930623,93.1014249152,0,100.0
-24.897851649,4.93494449213,29.0290328676,0.571587187621,0.0,180,4.93963901131e-05,8.19850744828e-06,45,-13.0,0,93.1014249152,93.176331615,0,100.0
-26.0611452767,4.87950960504,30.0253927671,0.520641473108,0.0,180,5.04198975384e-05,8.76652505341e-06,45,-13.0,0,93.176331615,93.244072902,0,100.0
-26.9099157736,4.71752129052,30.9456475768,0.51238752105,0.0,180,5.14173059584e-05,9.34296860919e-06,45,-13.0,0,93.244072902,93.3102464673,0,100.0
-28.0567240307,4.8285191583,31.9401208271,0.473249757362,0.0,180,5.23298594065e-05,9.89010849782e-06,45,-15.0,0,93.244072902,93.3709324708,0,100.0
-28.6683553853,4.7406122808,32.8948261659,0.511417293838,0.0,180,5.33055996402e-05,1.04984016875e-05,45,-15.0,0,93.3709324708,93.435984662,0,100.0
-29.5556571545,4.57783850647,33.7768521575,0.490966268393,0.0,180,5.42324609725e-05,1.10978964568e-05,45,-15.0,0,93.3709324708,93.4979377358,0,100.0
-30.5599126422,4.4938135875,34.63006123,0.453590225343,0.0,180,5.50801353139e-05,1.16648691597e-05,45,-15.0,0,93.4979377358,93.5547387374,0,100.0
-31.6128057592,4.73705066067,35.5791657078,0.438770851581,0.0,180,5.58918573141e-05,1.22254674487e-05,45,-15.0,0,93.5547387374,93.6092639974,0,100.0
-32.1260007497,4.71474984162,36.5677233257,0.488085972597,0.0,180,5.67843583873e-05,1.2863944706e-05,45,-15.0,0,93.6092639974,93.6693787838,0,100.0
-32.8357238755,4.65321330708,37.5327724069,0.508375123795,0.0,180,5.77023479279e-05,1.35449018789e-05,45,-15.0,0,93.6693787838,93.7313943715,0,100.0
-33.8836459264,4.75039517179,38.5680935167,0.496285636008,0.0,180,5.85871836984e-05,1.4224664708e-05,45,-15.0,0,93.6693787838,93.7913523912,0,100.0
-34.5462039355,4.73264827179,39.603536152,0.532423692661,0.0,180,5.95231187708e-05,1.49709589011e-05,45,-15.0,0,93.7913523912,93.8549830073,0,100.0
-35.3543197589,4.58121969483,40.5663118443,0.532486188363,0.0,180,6.04455230639e-05,1.57341339897e-05,45,-15.0,0,93.8549830073,93.917912108,0,100.0
-36.4822239125,4.5210055488,41.5133579251,0.495116524182,0.0,180,6.12911487727e-05,1.64580608552e-05,45,-15.0,0,93.917912108,93.9757996078,0,100.0
-37.4738760611,4.58236010242,42.5092000255,0.487027422452,0.0,180,6.21110754047e-05,1.71838115159e-05,45,-15.0,0,93.9757996078,94.0321195763,0,100.0
-38.2764131794,4.68838823812,43.5798476368,0.512121237949,0.0,180,6.29598547377e-05,1.79618252414e-05,45,-15.0,0,94.0321195763,94.0906347327,0,100.0
-38.7932523841,4.5486149407,44.577657924,0.550590680874,0.0,180,6.38566038407e-05,1.88151866345e-05,45,-15.0,0,94.0906347327,94.1527077233,0,100.0
-39.7518383245,4.28110056741,45.4483360101,0.513133396679,0.0,180,6.46783697756e-05,1.96249261014e-05,45,-15.0,0,94.0906347327,94.2098200365,0,100.0
-41.065513003,4.17531376795,46.2857307812,0.447754457355,0.0,180,6.53846139793e-05,2.03423103389e-05,45,-15.0,0,94.2098200365,94.2590849068,0,100.0
-41.8904926661,4.06157033056,47.0810473323,0.430638197217,0.0,180,6.60537044961e-05,2.10421245575e-05,45,-15.0,0,94.2590849068,94.3059251957,0,100.0
-43.1017488434,4.31605688101,47.9858697285,0.408999073821,0.0,180,6.66798870586e-05,2.17155304047e-05,45,-15.0,0,94.2590849068,94.3499154852,0,100.0
-43.0997897012,4.05892678386,48.796022755,0.465313492446,0.0,180,6.73801005918e-05,2.24928107349e-05,45,-15.0,0,94.3499154852,94.3993019562,0,100.0
-44.2833568477,3.98399617683,49.5875426907,0.416628871874,0.0,180,6.79971494417e-05,2.31975612428e-05,45,-15.0,0,94.3499154852,94.4429901118,0,100.0
-45.024624993,3.89578243078,50.3457214458,0.407046628364,0.0,180,6.85904373253e-05,2.38943651428e-05,45,-15.0,0,94.4429901118,94.4851554969,0,100.0
-45.8260335881,3.80941268982,51.0624021972,0.389900610248,0.0,180,6.91498524481e-05,2.45692790388e-05,44,-15.0,0,94.4851554969,94.5250629339,0,100.0
-46.4038209726,3.59297793529,51.6997739656,0.375164531825,0.0,180,6.9679959834e-05,2.52253669048e-05,44,-15.0,0,94.4851554969,94.5630185251,0,100.0
-47.5286350149,3.59985559658,52.349209123,0.333648253581,0.0,180,7.01448848778e-05,2.58140593425e-05,44,-15.0,0,94.5630185251,94.5964203953,0,100.0
-48.10844962,3.63994351875,53.018792589,0.339963137392,0.0,180,7.06117801724e-05,2.64192247441e-05,44,-15.0,0,94.5964203953,94.6300799552,0,100.0
-48.4790486692,3.53754895664,53.6294021215,0.350510275373,0.0,180,7.10858362503e-05,2.7048747901e-05,42,-15.0,0,94.6300799552,94.6643806624,0,100.0
-49.0323262586,3.33372535029,54.1754383247,0.331833319114,0.0,180,7.1528255427e-05,2.76494758377e-05,42,-15.0,0,94.6300799552,94.6965049484,0,100.0
-49.8400548971,3.18279131287,54.6802466206,0.296741200383,0.0,180,7.19187503117e-05,2.81904214215e-05,42,-15.0,0,94.6965049484,94.724951332,0,100.0
-50.7486533256,3.26463884336,55.1941673422,0.274336058335,0.0,180,7.22753411406e-05,2.86936847197e-05,40,-15.0,0,94.6965049484,94.751007269,0,100.0
