AWA,AWS,HOG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-146.565470249,7.89887634717,0.0,0.0676036112149,0.0676036112149,56.8337401812,-8.31511252299e-08,-1.27231699865e-07,0,0,0,0,0.00811426480213,0,0
-146.365149498,7.80437842725,0.0,0.0923817885359,0.0923817885359,56.7371428857,-1.97071890249e-07,-3.00904737081e-07,45,0.0,0,0,0.019187915242,0,0
-146.545078535,7.83404362896,0.0,0.054071114404,0.054071114404,56.7618384579,-2.63705960401e-07,-4.02584396477e-07,45,0.0,0,0,0.0256698591562,0,0
-146.409515718,7.70632336897,0.0,0.0228540493326,0.0228540493326,56.5032914705,-2.92063594703e-07,-4.45433456446e-07,45,0.0,0,0.0256698591562,0.0284011332425,0,100.0
-146.202134408,7.40965068563,0.0867061652727,0.0224404691774,0.0224404691774,56.2984166637,-3.2005831884e-07,-4.87407261626e-07,45,-15.0,0,0.0256698591562,0.0310764423177,0,100.0
171.2896596,7.36518230842,0.254346106142,0.0852930189024,0.101654502295,56.1627745313,-2.91346342588e-07,-6.77010263604e-07,45,-15.0,0,0.0256698591562,0.0431666542086,0,100.0
116.045322201,7.30743022649,0.501071953401,0.111806190564,0.0615391865807,56.0602664891,-6.70278963457e-08,-7.90457506665e-07,45,13.0,0,0.0431666542086,0.0504127118472,0,100.0
95.8870067492,7.59585608415,0.832941957797,0.182254340801,0.0297877781204,56.1183001394,3.39458387693e-07,-8.42175522973e-07,45,13.0,0,0.0504127118472,0.0537354238769,0,100.0
91.7272412378,7.85350314376,0.90763070373,0.252799299749,0.0236247917114,56.0350231278,9.06726180509e-07,-8.77549878353e-07,7,15.0,0,0.0537354238769,0.0560278944721,0,100.0
89.9832050857,7.88665662338,0.999620438589,0.333899153656,0.0235015295381,56.1526397587,1.656770352e-06,-9.09084810477e-07,7,15.0,0,0.0560278944722,0.0580898176412,0,100.0
101.553936923,7.75958381843,1.03065330303,0.372268111334,0.118965913705,56.2296255908,2.46809907243e-06,-1.11467579e-06,2,15.0,0,0.0580898176412,0.0712914172347,0,100.0
95.3325450199,7.92303784382,1.06645136459,0.457736146885,0.09250535942,56.9683546974,3.48563863569e-06,-1.26869471289e-06,2,15.0,0,0.0712914172348,0.0812342757235,0,100.0
88.7265572826,8.02159194146,1.10702756638,0.556888607857,0.0441382528969,57.109929946,4.73630049263e-06,-1.32774023993e-06,2,15.0,0,0.0812342757237,0.0851339315364,0,100.0
85.8178119919,8.3389339344,1.15249731986,0.647613615441,0.0187208060335,57.461502225,6.19231638684e-06,-1.3346503846e-06,2,15.0,0,0.0851339315364,0.0857166736955,0,100.0
91.9575588436,8.33118160638,1.15249731986,0.681839858149,0.110875907296,57.4299451349,7.71507669595e-06,-1.51139542701e-06,0,15.0,0,0.0857166736957,0.0972339062604,0,100.0
92.5529731732,8.29083577787,1.15249731986,0.747491717045,0.137813258387,57.5349989143,9.38059342664e-06,-1.73596648014e-06,0,15.0,0,0.0972339062605,0.11189064231,0,100.0
87.6502564197,8.46721336715,1.15249731986,0.848574927702,0.0808083413784,57.4594315973,1.12851056228e-05,-1.8488459314e-06,0,15.0,0,0.111890642309,0.11942205401,0,100.0
